2024-04-26T14:17:58.823070+0800 - INFO - [ --- Episode: 282, Reward: 601.0, Epsilon: 0.01 --- ]
2024-04-26T14:19:25.620923+0800 - INFO - [ --- Episode: 285, Reward: 3401.0, Epsilon: 0.01 --- ]
2024-04-26T14:20:30.846115+0800 - INFO - [ --- Episode: 288, Reward: 8808.0, Epsilon: 0.01 --- ]
2024-04-26T14:23:32.934750+0800 - INFO - [ --- Episode: 291, Reward: 4212.0, Epsilon: 0.01 --- ]
2024-04-26T14:26:08.854585+0800 - INFO - [ --- Episode: 294, Reward: 15716.0, Epsilon: 0.01 --- ]
2024-04-26T14:26:28.632045+0800 - INFO - [ --- Episode: 0, Reward: 0.0, Epsilon: 0.07 --- ]
2024-04-26T14:28:25.371661+0800 - INFO - [ --- Episode: 297, Reward: 3006.0, Epsilon: 0.01 --- ]
2024-04-26T14:31:35.821988+0800 - INFO - [ --- Episode: 300, Reward: 16409.0, Epsilon: 0.01 --- ]
2024-04-26T14:35:31.974142+0800 - INFO - [ --- Episode: 303, Reward: 20926.0, Epsilon: 0.01 --- ]
2024-04-26T14:37:56.283803+0800 - INFO - [ --- Episode: 306, Reward: 5108.0, Epsilon: 0.01 --- ]
2024-04-26T14:40:44.028837+0800 - INFO - [ --- Episode: 309, Reward: 6317.0, Epsilon: 0.01 --- ]
2024-04-26T14:44:05.782676+0800 - INFO - [ --- Episode: 312, Reward: 3509.0, Epsilon: 0.01 --- ]
2024-04-26T14:45:32.180940+0800 - INFO - [ --- Episode: 315, Reward: 3601.0, Epsilon: 0.01 --- ]
2024-04-26T14:48:28.330689+0800 - INFO - [ --- Episode: 318, Reward: 4712.0, Epsilon: 0.01 --- ]
2024-04-26T14:50:34.766901+0800 - INFO - [ --- Episode: 321, Reward: 4304.0, Epsilon: 0.01 --- ]
2024-04-26T14:52:40.131839+0800 - INFO - [ --- Episode: 324, Reward: 4604.0, Epsilon: 0.01 --- ]
2024-04-26T14:55:30.202389+0800 - INFO - [ --- Episode: 3, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T14:56:05.909283+0800 - INFO - [ --- Episode: 327, Reward: 12614.0, Epsilon: 0.01 --- ]
