2024-04-26T03:13:30.063804+0800 - INFO - [ --- Episode: 699, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T03:14:15.683300+0800 - INFO - [ --- Episode: 0, Reward: 1500.0, Epsilon: 0.72 --- ]
2024-04-26T03:14:52.857864+0800 - INFO - [ --- Episode: 702, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T03:15:39.147431+0800 - INFO - [ --- Episode: 3, Reward: 300.0, Epsilon: 0.44 --- ]
2024-04-26T03:16:16.457309+0800 - INFO - [ --- Episode: 705, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T03:16:46.972393+0800 - INFO - [ --- Episode: 6, Reward: 500.0, Epsilon: 0.30 --- ]
2024-04-26T03:17:40.383590+0800 - INFO - [ --- Episode: 708, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T03:17:53.639496+0800 - INFO - [ --- Episode: 9, Reward: 800.0, Epsilon: 0.21 --- ]
2024-04-26T03:18:36.675174+0800 - INFO - [ --- Episode: 12, Reward: 200.0, Epsilon: 0.16 --- ]
2024-04-26T03:19:06.852433+0800 - INFO - [ --- Episode: 711, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T03:19:14.146757+0800 - INFO - [ --- Episode: 15, Reward: 0.0, Epsilon: 0.13 --- ]
2024-04-26T03:19:38.773069+0800 - INFO - [ --- Episode: 18, Reward: 200.0, Epsilon: 0.12 --- ]
2024-04-26T03:20:26.612158+0800 - INFO - [ --- Episode: 21, Reward: 400.0, Epsilon: 0.09 --- ]
2024-04-26T03:20:30.555111+0800 - INFO - [ --- Episode: 714, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-26T03:21:15.851726+0800 - INFO - [ --- Episode: 24, Reward: 200.0, Epsilon: 0.07 --- ]
2024-04-26T03:21:52.510910+0800 - INFO - [ --- Episode: 27, Reward: 200.0, Epsilon: 0.05 --- ]
2024-04-26T03:21:53.955565+0800 - INFO - [ --- Episode: 717, Reward: 0.0, Epsilon: 0.01 --- ]
