2024-04-25T21:31:06.399373+0800 - INFO - [ --- Episode: 753, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:31:18.685359+0800 - INFO - [ --- Episode: 0, Reward: 1.0, Epsilon: 0.85 --- ]
2024-04-25T21:31:54.063857+0800 - INFO - [ --- Episode: 756, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:32:39.974890+0800 - INFO - [ --- Episode: 3, Reward: 0.0, Epsilon: 0.53 --- ]
2024-04-25T21:32:43.071608+0800 - INFO - [ --- Episode: 759, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:33:35.204612+0800 - INFO - [ --- Episode: 762, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:34:06.357699+0800 - INFO - [ --- Episode: 6, Reward: 0.0, Epsilon: 0.33 --- ]
2024-04-25T21:34:23.340427+0800 - INFO - [ --- Episode: 765, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:35:12.508732+0800 - INFO - [ --- Episode: 768, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:35:30.997876+0800 - INFO - [ --- Episode: 9, Reward: 0.0, Epsilon: 0.21 --- ]
2024-04-25T21:36:10.174730+0800 - INFO - [ --- Episode: 771, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:36:56.934648+0800 - INFO - [ --- Episode: 12, Reward: 0.0, Epsilon: 0.13 --- ]
2024-04-25T21:37:00.654334+0800 - INFO - [ --- Episode: 774, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:37:58.612086+0800 - INFO - [ --- Episode: 777, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:38:23.104339+0800 - INFO - [ --- Episode: 15, Reward: 0.0, Epsilon: 0.08 --- ]
2024-04-25T21:38:48.223395+0800 - INFO - [ --- Episode: 780, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:39:37.002556+0800 - INFO - [ --- Episode: 783, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:39:49.515302+0800 - INFO - [ --- Episode: 18, Reward: 0.0, Epsilon: 0.05 --- ]
2024-04-25T21:40:25.817869+0800 - INFO - [ --- Episode: 786, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:41:14.371113+0800 - INFO - [ --- Episode: 789, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:41:14.578985+0800 - INFO - [ --- Episode: 21, Reward: 0.0, Epsilon: 0.03 --- ]
2024-04-25T21:42:03.884325+0800 - INFO - [ --- Episode: 792, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:42:41.168697+0800 - INFO - [ --- Episode: 24, Reward: 0.0, Epsilon: 0.02 --- ]
2024-04-25T21:42:53.224494+0800 - INFO - [ --- Episode: 795, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:43:42.157427+0800 - INFO - [ --- Episode: 798, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:44:07.531563+0800 - INFO - [ --- Episode: 27, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:44:31.223963+0800 - INFO - [ --- Episode: 801, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:45:20.352142+0800 - INFO - [ --- Episode: 804, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:45:33.933103+0800 - INFO - [ --- Episode: 30, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:46:08.702362+0800 - INFO - [ --- Episode: 807, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:46:57.293780+0800 - INFO - [ --- Episode: 810, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:46:58.543955+0800 - INFO - [ --- Episode: 33, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:47:46.427588+0800 - INFO - [ --- Episode: 813, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:48:25.190121+0800 - INFO - [ --- Episode: 36, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:48:36.482089+0800 - INFO - [ --- Episode: 816, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:49:41.021344+0800 - INFO - [ --- Episode: 819, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:49:53.220984+0800 - INFO - [ --- Episode: 39, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:50:30.353781+0800 - INFO - [ --- Episode: 822, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:51:17.850381+0800 - INFO - [ --- Episode: 42, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:51:18.370038+0800 - INFO - [ --- Episode: 825, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:52:08.218399+0800 - INFO - [ --- Episode: 828, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:52:44.467064+0800 - INFO - [ --- Episode: 45, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:52:57.314242+0800 - INFO - [ --- Episode: 831, Reward: 0.0, Epsilon: 0.01 --- ]
2024-04-25T21:53:47.272762+0800 - INFO - [ --- Episode: 834, Reward: 0.0, Epsilon: 0.01 --- ]
