2024-04-25T15:44:32.864016+0800 - INFO - [ --- Episode: 0, Reward: 14.0, Epsilon: 1.00 --- ]
2024-04-25T15:44:34.072651+0800 - INFO - [ --- Episode: 3, Reward: 24.0, Epsilon: 0.99 --- ]
2024-04-25T15:44:34.772242+0800 - INFO - [ --- Episode: 6, Reward: 12.0, Epsilon: 0.99 --- ]
2024-04-25T15:44:35.365953+0800 - INFO - [ --- Episode: 9, Reward: 17.0, Epsilon: 0.98 --- ]
2024-04-25T15:44:35.782752+0800 - INFO - [ --- Episode: 12, Reward: 10.0, Epsilon: 0.98 --- ]
2024-04-25T15:44:36.740949+0800 - INFO - [ --- Episode: 15, Reward: 15.0, Epsilon: 0.97 --- ]
2024-04-25T15:44:37.249662+0800 - INFO - [ --- Episode: 18, Reward: 18.0, Epsilon: 0.97 --- ]
2024-04-25T15:44:38.515616+0800 - INFO - [ --- Episode: 21, Reward: 63.0, Epsilon: 0.96 --- ]
2024-04-25T15:44:39.599891+0800 - INFO - [ --- Episode: 24, Reward: 21.0, Epsilon: 0.95 --- ]
2024-04-25T15:44:40.072978+0800 - INFO - [ --- Episode: 27, Reward: 13.0, Epsilon: 0.94 --- ]
2024-04-25T15:44:40.995185+0800 - INFO - [ --- Episode: 30, Reward: 20.0, Epsilon: 0.93 --- ]
2024-04-25T15:44:41.763476+0800 - INFO - [ --- Episode: 33, Reward: 24.0, Epsilon: 0.93 --- ]
2024-04-25T15:44:42.495309+0800 - INFO - [ --- Episode: 36, Reward: 18.0, Epsilon: 0.92 --- ]
2024-04-25T15:44:43.367548+0800 - INFO - [ --- Episode: 39, Reward: 17.0, Epsilon: 0.91 --- ]
2024-04-25T15:44:43.930848+0800 - INFO - [ --- Episode: 42, Reward: 18.0, Epsilon: 0.91 --- ]
2024-04-25T15:44:44.929905+0800 - INFO - [ --- Episode: 45, Reward: 32.0, Epsilon: 0.90 --- ]
2024-04-25T15:44:45.576255+0800 - INFO - [ --- Episode: 48, Reward: 18.0, Epsilon: 0.90 --- ]
2024-04-25T15:44:46.640521+0800 - INFO - [ --- Episode: 51, Reward: 26.0, Epsilon: 0.89 --- ]
2024-04-25T15:44:47.536079+0800 - INFO - [ --- Episode: 54, Reward: 20.0, Epsilon: 0.88 --- ]
2024-04-25T15:44:48.205003+0800 - INFO - [ --- Episode: 57, Reward: 27.0, Epsilon: 0.88 --- ]
